split,target,readout,lead_s,n_train,n_test,alpha,skill,skill_percol,r2,rmse,rmse_chance
participant,gaze_yawpitch,spatial,0.0,2937,997,100000.0,0.0005034591609105465,-0.007986356547182272,-0.318610699656681,0.18006799408938667,0.18011334538459778
participant,gaze_yawpitch,spatial,0.25,2937,997,100000.0,0.003996492815294128,-0.004926198039943319,-0.2946736603327915,0.17963193337304986,0.1799919605255127
participant,gaze_yawpitch,spatial,0.5,2937,997,100000.0,-0.015233816855412474,-0.02591384304643396,-0.3332842428694468,0.18290348656929323,0.1815260499715805
participant,gaze_yawpitch,spatial,1.0,2937,997,100000.0,-0.007158210599276016,-0.01262404759207958,-0.35863640735405966,0.1796571292895183,0.1790175437927246
participant,gaze_yawpitch,spatial,2.0,2937,997,100000.0,-0.026541125515627817,-0.0358168526040864,-0.3922097896761343,0.18944130891116853,0.18697628378868103
participant,left_palm_xyz,spatial,0.0,1395,592,1.0,0.34576527856354355,0.31720396333674333,0.20554257942359308,0.08082445498891841,0.09992542117834091
participant,left_palm_xyz,spatial,0.25,1395,592,1000.0,0.28691576530590834,0.2557953444404059,0.13336677987530887,0.08185757822787011,0.09693675488233566
participant,left_palm_xyz,spatial,0.5,1395,592,10000.0,0.20719501235261428,0.18840234640130302,0.05654780150654515,0.08621747370852785,0.09683048725128174
participant,left_palm_xyz,spatial,1.0,1395,592,10000.0,0.07940439068179284,0.07290359353389102,-0.07702924518813663,0.09266157036330096,0.09657510370016098
participant,left_palm_xyz,spatial,2.0,1395,592,10000.0,-0.03200291023383173,-0.02900174613597824,-0.20018194184233037,0.10340868660049594,0.10179268568754196
participant,right_palm_xyz,spatial,0.0,1234,590,1000.0,0.22047082113329441,0.2221825734669527,0.1611063229331876,0.07643830785959428,0.0865754708647728
participant,right_palm_xyz,spatial,0.25,1234,590,10000.0,0.1524080525593553,0.15426856548837584,0.08127189002875497,0.07994463591729062,0.08683522045612335
participant,right_palm_xyz,spatial,0.5,1234,590,10000.0,0.05603381133981755,0.05980755189868955,-0.010044274160209735,0.08422671394216037,0.08669053018093109
participant,right_palm_xyz,spatial,1.0,1234,590,10000.0,-0.04510614804394253,-0.04410869297247225,-0.14025106084994432,0.09116495901592715,0.08917595446109772
participant,right_palm_xyz,spatial,2.0,1234,590,10000.0,-0.18640133024418826,-0.1909614356347189,-0.2852143501553411,0.09862057105194925,0.09054233878850937
participant,gaze_on_left_rows,spatial,0.0,1395,592,100000.0,0.08170276236397045,0.08301205006217838,-0.32441447258647027,0.1580570946279109,0.16493861377239227
participant,gaze_on_left_rows,spatial,0.25,1395,592,100000.0,0.06749165327452145,0.05872692218393649,-0.32585123919467907,0.1588940845238333,0.1645437330007553
participant,gaze_on_left_rows,spatial,0.5,1395,592,100000.0,0.06101337014048003,0.05581329077716257,-0.3224929829261578,0.1644567379020663,0.16971567273139954
participant,gaze_on_left_rows,spatial,1.0,1395,592,100000.0,0.09181405905817719,0.07393348268327066,-0.30239797876373664,0.15668731759120522,0.16441689431667328
participant,gaze_on_left_rows,spatial,2.0,1395,592,100000.0,0.07083405661088926,0.051254798933423384,-0.32371904926698414,0.16582174527333465,0.17202629148960114
