participant,recording,mse_A,mse_B,delta,n_clips
P08,P08-20240613-122900,0.5084407404065132,0.5111114904284477,-0.0026707500219345093,4
P08,P08-20240613-123547,0.46353618800640106,0.46104393899440765,0.002492249011993408,4
P08,P08-20240614-085000,0.5770234391093254,0.5809106081724167,-0.003887169063091278,4
P08,P08-20240614-125650,0.5875202044844627,0.598682202398777,-0.01116199791431427,4
P08,P08-20240614-132938,0.5677105858922005,0.5667047426104546,0.0010058432817459106,4
P08,P08-20240614-184945,0.7351393699645996,0.7376036047935486,-0.0024642348289489746,4
P08,P08-20240617-130401,0.5829167515039444,0.585928201675415,-0.003011450171470642,4
P08,P08-20240617-184909,0.6002059727907181,0.6039136648178101,-0.00370769202709198,4
P08,P08-20240618-163547,0.5800933167338371,0.5859304592013359,-0.005837142467498779,4
P08,P08-20240618-171546,0.5601233839988708,0.5610502511262894,-0.0009268671274185181,4
P08,P08-20240620-180825,0.5405911430716515,0.5400257781147957,0.0005653649568557739,4
P08,P08-20240622-141902,0.6222583800554276,0.6289985328912735,-0.006740152835845947,4
