clip,participant,recording,model,variant,arm,mse
0,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6357574462890625
0,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.635625958442688
0,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6413572430610657
0,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6424935460090637
1,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7044902443885803
1,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7115740180015564
1,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7061163783073425
1,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7066437602043152
2,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6176267266273499
2,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6238544583320618
2,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6188069581985474
2,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6181897521018982
3,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6146140098571777
3,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6174569725990295
3,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6162078380584717
3,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6146976947784424
4,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7001757025718689
4,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6903964281082153
4,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6961853504180908
4,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.697049617767334
5,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6693180203437805
5,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6675575375556946
5,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6683294177055359
5,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6683083772659302
6,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.601147472858429
6,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6033846139907837
6,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6039213538169861
6,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.610846996307373
7,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.4157053530216217
7,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.4081951677799225
7,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.4079335033893585
7,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.41436687111854553
8,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.38780251145362854
8,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.3824214041233063
8,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.37914595007896423
8,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.38746175169944763
9,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7634396553039551
9,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7387731075286865
9,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7551358342170715
9,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7494697570800781
10,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.5279664397239685
10,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.5255349278450012
10,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.5262175798416138
10,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.5246022939682007
11,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7615415453910828
11,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7667160034179688
11,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7824374437332153
11,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.8028075098991394
12,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6674022674560547
12,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6582551002502441
12,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6679624319076538
12,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6753181219100952
13,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.3921075463294983
13,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.38907745480537415
13,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.3852598965167999
13,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.3947083055973053
14,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.516949474811554
14,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.511795699596405
14,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.5185332298278809
14,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.5170919299125671
15,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6114027500152588
15,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6144025325775146
15,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6134852766990662
15,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6098760366439819
16,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.366534948348999
16,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.36510276794433594
16,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.36087560653686523
16,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.36673641204833984
17,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.43265387415885925
