clip,participant,recording,model,variant,arm,mse
0,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6410132646560669
0,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6341179609298706
0,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6413572430610657
0,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6372025609016418
1,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7201375365257263
1,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7137940526008606
1,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7061163783073425
1,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7089744210243225
2,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6188532710075378
2,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6297162175178528
2,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6188069581985474
2,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6209948658943176
3,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6191582679748535
3,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6220452785491943
3,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6162078380584717
3,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6173701882362366
4,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6960764527320862
4,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.701029360294342
4,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6961853504180908
4,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6934881210327148
5,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6750817894935608
5,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6763492226600647
5,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6683294177055359
5,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6673185229301453
6,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.616483211517334
6,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6054589748382568
6,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6039213538169861
6,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6056272983551025
7,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.4127614498138428
7,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.4220360219478607
7,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.4079335033893585
7,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.4148508608341217
8,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.38570812344551086
8,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.3807814121246338
8,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.37914595007896423
8,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.38458141684532166
9,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7440702319145203
9,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7372502684593201
9,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7551358342170715
9,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.759248673915863
10,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.5333201289176941
10,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.5263972282409668
10,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.5262175798416138
10,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.5358105897903442
11,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.767697274684906
11,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.771080493927002
11,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7824374437332153
11,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7686255574226379
12,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7167704701423645
12,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6564120650291443
12,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6679624319076538
12,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6721181869506836
13,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.40755507349967957
13,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.38058415055274963
13,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.3852598965167999
13,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.3973330557346344
14,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.543350875377655
14,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.5183200836181641
14,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.5185332298278809
14,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.5237870216369629
15,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6112281084060669
15,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6060778498649597
15,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.6134852766990662
15,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.6084543466567993
16,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.3507167398929596
16,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.3652595281600952
16,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.36087560653686523
16,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.3641184866428375
17,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.405366986989975
17,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.42752158641815186
17,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.41940760612487793
17,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.41348960995674133
18,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.5096325874328613
18,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.50446617603302
18,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.5140299797058105
18,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.523076593875885
19,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.8434281945228577
19,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7915958166122437
19,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7939321398735046
19,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.813072144985199
20,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.799474835395813
20,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7237955927848816
20,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7364851832389832
20,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7493623495101929
21,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.7229620218276978
21,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.7141366004943848
21,P08,P08-20240613-122900,stock_ac,zeros,stock_ac:zeros,0.7197386622428894
21,P08,P08-20240613-122900,stock_ac,mean,stock_ac:mean,0.7247031331062317
22,P08,P08-20240613-122900,stock_ac,real,stock_ac:real,0.6025184392929077
22,P08,P08-20240613-122900,stock_ac,mask,stock_ac:mask,0.6045603156089783
